Team,Game,Points,Corsi S Adj,Corsi SV Adj,Corsi EVA Adj,Corsi Close,Fenwick S Adj,Fenwick SV Adj,Fenwick EVA Adj,Fenwick Close,SOG S Adj,SOG SV Adj,SOG EVA Adj,SOG Close,Season End,Season Type,From / To
ANA,82,101,49.00,48.99,49.77,48.13,48.98,48.96,50.00,48.35,48.46,48.49,50.51,47.81,2018,Regular,From
ARI,82,70,47.85,47.81,47.25,47.95,46.55,46.54,45.84,46.63,47.38,47.42,46.37,47.48,2018,Regular,From
BOS,82,112,53.76,53.83,54.05,52.29,53.66,53.71,53.99,52.30,53.50,53.57,54.19,52.26,2018,Regular,From
BUF,82,62,46.45,46.44,44.57,47.33,46.50,46.47,44.10,47.26,47.63,47.62,43.59,48.28,2018,Regular,From
CAR,82,83,54.58,54.53,53.03,55.09,53.38,53.34,51.40,54.23,53.91,53.92,50.31,53.92,2018,Regular,From
CBJ,82,97,51.66,51.63,51.95,51.20,52.60,52.59,53.00,52.24,52.19,52.20,52.80,51.76,2018,Regular,From
CGY,82,84,53.06,53.01,51.97,52.23,52.85,52.80,51.40,52.13,52.59,52.59,49.74,51.92,2018,Regular,From
CHI,82,76,52.34,52.32,51.64,51.24,50.84,50.86,49.90,49.67,51.20,51.25,49.54,49.65,2018,Regular,From
COL,82,95,47.87,47.89,48.52,48.28,47.27,47.33,48.22,47.43,47.19,47.26,48.85,47.28,2018,Regular,From
DAL,82,92,51.33,51.28,51.63,51.43,51.43,51.42,51.87,51.39,51.32,51.33,52.17,51.22,2018,Regular,From
DET,82,73,48.47,48.49,47.82,48.74,49.02,49.06,48.20,49.21,48.72,48.77,47.09,48.85,2018,Regular,From
EDM,82,78,50.17,50.05,49.85,51.10,50.77,50.67,50.35,51.51,50.32,50.27,49.50,51.14,2018,Regular,From
FLA,82,96,49.53,49.56,49.43,49.63,50.18,50.21,50.04,50.75,49.89,49.94,49.54,50.87,2018,Regular,From
L.A,82,98,49.82,49.79,50.40,51.20,49.64,49.59,50.45,50.45,49.59,49.60,51.30,50.77,2018,Regular,From
MIN,82,101,47.78,47.84,48.31,46.88,48.54,48.62,49.23,47.74,49.69,49.78,51.34,49.17,2018,Regular,From
MTL,82,71,49.69,49.63,48.45,49.67,49.59,49.59,47.94,49.49,50.33,50.35,47.54,50.09,2018,Regular,From
N.J,82,97,48.31,48.38,48.02,48.59,48.87,48.93,48.45,49.02,49.78,49.85,49.26,50.39,2018,Regular,From
NSH,82,117,52.30,52.39,53.75,51.67,52.11,52.21,54.05,51.74,50.73,50.83,53.72,50.08,2018,Regular,From
NYI,82,80,47.18,47.19,47.35,47.13,46.53,46.55,46.77,46.75,46.48,46.51,46.87,47.30,2018,Regular,From
NYR,82,77,45.16,45.15,45.02,45.10,45.43,45.46,45.31,45.09,45.25,45.31,45.08,45.45,2018,Regular,From
OTT,82,67,46.42,46.39,45.67,47.20,46.88,46.88,45.85,48.10,47.29,47.31,45.43,48.60,2018,Regular,From
PHI,82,98,49.63,49.62,50.01,49.29,50.03,50.04,50.52,50.00,50.73,50.77,51.89,50.63,2018,Regular,From
PIT,82,100,52.27,52.25,51.48,52.72,53.00,53.00,52.01,53.17,53.46,53.46,51.78,54.08,2018,Regular,From
S.J,82,100,51.34,51.34,50.71,51.77,52.13,52.16,51.28,52.63,51.98,52.05,50.38,52.68,2018,Regular,From
STL,82,94,51.86,51.88,52.07,51.84,52.80,52.82,53.07,52.79,52.11,52.14,52.34,52.35,2018,Regular,From
T.B,82,113,52.41,52.45,53.87,53.36,52.07,52.13,54.00,53.52,50.35,50.43,53.29,51.90,2018,Regular,From
TOR,82,105,50.93,50.89,51.92,49.70,49.49,49.46,50.84,47.96,48.71,48.75,51.06,46.57,2018,Regular,From
VAN,82,73,47.09,47.08,46.69,48.37,47.07,47.10,46.57,48.29,47.30,47.34,46.44,48.11,2018,Regular,From
VGK,82,109,51.94,52.00,52.46,51.50,51.73,51.82,52.44,51.43,51.73,51.85,52.98,51.14,2018,Regular,From
WPG,82,114,52.42,52.50,53.17,51.09,52.50,52.62,53.52,51.27,52.10,52.27,53.85,51.24,2018,Regular,From
WSH,82,105,48.64,48.62,49.61,47.95,47.92,47.93,49.27,47.34,47.65,47.72,50.30,46.72,2018,Regular,From
ANA,81,99,49.01,48.99,49.73,48.26,48.97,48.92,49.91,48.42,48.48,48.50,50.41,47.93,2018,Regular,From
ARI,81,70,47.81,47.78,47.27,47.81,46.51,46.51,45.87,46.53,47.32,47.37,46.44,47.32,2018,Regular,From
BOS,81,112,53.66,53.74,54.10,52.21,53.59,53.65,54.12,52.25,53.38,53.47,54.41,52.19,2018,Regular,From
