Team,Name,Conference,Division,Season End,Season Type,Cumulative Games,Points,Corsi Close,Fenwick Close,SOG Close,G% Down 2,G For Down 2,G Agnst Down 2,G% Down 1,G For Down 1,G Agnst Down 1,G% Tied,G For Tied,G Agnst Tied,G% Up 1,G For Up 1,G Agnst Up 1,G% Up 2,G For Up 2,G Agnst Up 2,S% Down 2,S For Down 2,S Agnst Down 2,S% Down 1,S For Down 1,S Agnst Down 1,S% Tied,S For Tied,S Agnst Tied,S% Up 1,S For Up 1,S Agnst Up 1,S% Up 2,S For Up 2,S Agnst Up 2,M% Down 2,M For Down 2,M Agnst Down 2,M% Down 1,M For Down 1,M Agnst Down 1,M% Tied,M For Tied,M Agnst Tied,M% Up 1,M For Up 1,M Agnst Up 1,M% Up 2,M For Up 2,M Agnst Up 2,B% Down 2,B For Down 2,B Agnst Down 2,B% Down 1,B For Down 1,B Agnst Down 1,B% Tied,B For Tied,B Agnst Tied,B% Up 1,B For Up 1,B Agnst Up 1,B% Up 2,B For Up 2,B Agnst Up 2
ANA,Ducks,Western,Pacific,2018,Regular,60,69,47.88,48.3,48.06,60,12,8,53.06,26,23,52.87,46,41,61.7,29,18,53.85,14,12,60,114,76,52.78,218,195,50.49,515,505,46.06,269,315,42.71,170,228,52.56,41,37,53.71,94,81,50.23,215,213,45.82,137,162,47.29,96,107,65.04,80,43,55.98,117,92,49.03,253,263,41.94,130,180,40,78,117
ARI,Coyotes,Western,Pacific,2018,Regular,60,44,47.44,45.97,47.02,45.45,10,12,48.89,22,23,49.47,47,48,38.3,18,29,66.67,12,6,56.37,115,89,55.01,302,247,47.4,546,606,41.17,226,323,42.26,71,97,47.37,45,50,54.9,140,115,44.48,274,342,37.22,99,167,41.03,32,46,58.41,66,47,55,165,135,53.78,349,300,45.57,149,178,45.36,44,53
BOS,Bruins,Eastern,Atlantic,2018,Regular,60,82,52.4,52.1,52.07,72.22,13,5,54.9,28,23,53.85,49,42,60.87,28,18,63.33,19,11,61.26,136,86,56.95,258,195,52.38,595,541,49.23,225,232,54.14,98,83,62.5,50,30,62.63,124,74,52.62,241,217,47.2,101,113,54.35,50,42,68.69,68,31,63.79,148,84,51.66,280,262,47.83,121,132,44.19,38,48
BUF,Sabres,Eastern,Atlantic,2018,Regular,60,45,47.17,46.89,47.58,37.14,13,22,33.87,21,41,39.76,33,50,52.78,19,17,38.46,5,8,54.63,177,147,50.07,338,337,49.08,509,528,40.8,153,222,38.51,62,99,56.12,78,61,51.39,148,140,46.49,179,206,39.16,56,87,30.77,16,36,57.35,78,58,58.65,183,129,43.22,185,243,37.97,71,116,35.53,27,49
CAR,Hurricanes,Eastern,Metropolitan,2018,Regular,60,64,54.69,54.27,54.45,40,8,12,51.02,25,24,51.43,54,51,39.66,23,35,59.09,13,9,61.61,130,81,60.87,280,180,51.91,584,541,47.67,276,303,55.75,97,77,51.02,50,48,63.59,131,75,56.31,281,218,51.98,131,121,50.68,37,36,68.04,66,31,61.73,171,106,58.14,318,229,51.97,145,134,53.06,52,46
CBJ,Blue Jackets,Eastern,Metropolitan,2018,Regular,60,65,51.33,52.6,52.59,51.85,14,13,48.84,21,22,51.61,48,45,54.39,31,26,52.63,10,9,60.18,204,135,60.13,288,191,51.51,579,545,43.26,260,341,47.03,103,116,57.62,87,64,60.44,110,72,54.42,240,201,45.99,109,128,45.88,39,46,57.76,93,68,55.76,150,119,48.91,246,257,36.75,111,191,35.09,40,74
CGY,Flames,Western,Pacific,2018,Regular,60,69,51.65,51.04,50.93,25,7,21,50.94,27,26,47.19,42,47,47.62,20,22,42.11,8,11,61.54,160,100,56,266,209,54.23,571,482,46.95,262,296,47.58,108,119,61.59,85,53,55.75,126,100,55.85,296,234,47.13,123,138,50.57,44,43,65.13,99,53,60.24,150,99,51.69,290,271,47.2,135,151,52.17,48,44
CHI,Blackhawks,Western,Central,2018,Regular,60,58,52.49,50.46,50.42,29.63,8,19,41.3,19,27,50.54,47,46,40,20,30,53.33,8,7,61.21,142,90,55.95,235,185,49.7,580,587,47.26,259,289,42.34,58,79,55.77,58,46,64.08,91,51,45.82,203,240,51.76,103,96,45.83,22,26,67.32,103,50,58.91,152,106,55.4,364,293,50.99,154,148,45.83,33,39
COL,Avalanche,Western,Central,2018,Regular,60,69,47.52,46.75,46.65,38.1,8,13,37.5,15,25,53.57,45,39,55.77,29,23,51.72,15,14,54.65,94,78,53.32,265,232,46.23,497,578,43.83,270,346,35.64,98,177,46.27,31,36,52.45,107,97,45.24,195,236,50.9,113,109,45,54,66,57.76,67,49,56.03,172,135,47.02,260,293,49.38,159,163,36,63,112
DAL,Stars,Western,Central,2018,Regular,60,72,51.31,51.29,50.93,42.11,8,11,54.35,25,21,50,42,42,51.16,22,21,70.59,12,5,54.87,107,88,57.11,277,208,52.63,560,504,43.71,198,255,36.91,55,94,55.07,38,31,56.9,132,100,52.62,231,208,44.51,81,101,35.21,25,46,64.8,81,44,58.55,178,126,52.39,329,299,44.76,128,158,28,21,54
DET,Red Wings,Eastern,Atlantic,2018,Regular,60,58,48.23,48.96,48.07,62.07,18,11,42.86,24,32,40.45,36,53,51.06,24,23,57.89,11,8,54.1,132,112,52.05,318,293,49.13,506,524,47.36,215,239,41.63,107,150,42.86,42,56,52.09,137,126,52.13,220,202,42.7,79,106,54.24,64,54,50,59,59,52.85,176,157,46.74,222,253,40.79,93,135,34.13,43,83
EDM,Oilers,Western,Pacific,2018,Regular,60,54,51.8,52.47,52.11,62.07,18,11,45.45,25,30,50.55,46,45,52.46,32,29,31.03,9,20,55.09,146,119,49.93,346,347,49.5,546,557,51.11,230,220,41.52,93,131,47.79,54,59,58.13,168,121,50.55,228,223,45.74,86,102,41.77,33,46,49.3,70,72,50.82,187,181,47.84,255,278,45.5,101,121,34.11,44,85
FLA,Panthers,Eastern,Atlantic,2018,Regular,60,64,49.47,50.36,51.07,63.16,12,7,48.84,21,22,57.29,55,41,45.31,29,35,57.14,16,12,60.28,129,85,57.23,293,219,50.72,596,579,45.41,302,363,39.11,97,151,63.74,58,33,55.29,115,93,49.89,227,228,45.92,135,159,37.14,39,66,65.26,62,33,58.23,138,99,44.86,227,279,37.58,124,206,44.66,46,57
LAK,Kings,Western,Pacific,2018,Regular,60,71,51.74,50.58,50.8,50,11,11,52.83,28,25,45.05,41,50,65,26,14,68.75,11,5,58.39,167,119,54.47,280,234,50.85,479,463,45.08,206,251,37.89,86,141,56.25,72,56,54.55,150,125,49.03,228,237,44.56,86,107,36.63,37,64,52.94,72,64,60.14,172,114,50.19,260,258,50.57,133,130,35.71,40,72
MIN,Wild,Western,Central,2018,Regular,60,73,46.42,47.32,48.71,45.45,10,12,50,20,20,51.14,45,43,62.26,33,20,71.88,23,9,58.45,121,86,53.05,209,185,49.79,473,477,47.69,279,306,43.32,120,157,54.17,39,33,48.02,85,92,39.04,155,242,41.27,104,148,37.93,44,72,58.33,56,40,48.5,97,103,43.44,225,293,39.31,114,176,38.36,61,98
