Name,Playoffs,Results
Ducks,1,Pos
Coyotes,1,FalsePos
Bruins,1,Pos
Sabres,0,Neg
Hurricanes,1,FalsePos
Blue Jackets,1,Pos
Flames,1,FalsePos
Blackhawks,1,FalsePos
Avalanche,1,Pos
Stars,1,FalsePos
Red Wings,1,FalsePos
Oilers,1,FalsePos
Panthers,1,FalsePos
Kings,1,Pos
Wild,1,Pos
Canadiens,1,FalsePos
Devils,1,Pos
Predators,1,Pos
Islanders,1,FalsePos
Rangers,0,Neg
Senators,0,Neg
Flyers,1,Pos
Penguins,1,Pos
Sharks,1,Pos
Blues,1,FalsePos
Lightning,1,Pos
Maple Leafs,1,Pos
Canucks,0,Neg
Golden Knights,1,Pos
Jets,1,Pos
Capitals,1,Pos
