Team,Game,Points,Corsi S Adj,Corsi SV Adj,Corsi EVA Adj,Corsi Close,Fenwick S Adj,Fenwick SV Adj,Fenwick EVA Adj,Fenwick Close,SOG S Adj,SOG SV Adj,SOG EVA Adj,SOG Close,Season End,Season Type,From / To
ANA,82,105,50.30,50.25,50.45,50.10,50.50,50.43,50.71,50.54,50.75,50.72,51.54,50.70,2017,Regular,From
ARI,82,70,44.24,44.13,43.98,45.12,43.69,43.59,43.39,44.73,44.29,44.25,44.03,45.48,2017,Regular,From
BOS,82,95,55.26,55.28,54.16,54.26,55.71,55.73,54.20,54.81,56.21,56.22,53.47,55.56,2017,Regular,From
BUF,82,78,46.97,46.98,46.40,47.90,47.04,47.04,46.28,47.74,47.24,47.23,45.94,47.87,2017,Regular,From
CAR,82,87,51.14,51.10,49.97,50.80,50.29,50.27,48.78,49.77,50.75,50.75,48.10,49.93,2017,Regular,From
CBJ,82,108,51.14,51.13,51.95,50.95,51.13,51.14,52.24,50.72,51.60,51.57,53.76,51.18,2017,Regular,From
CGY,82,94,50.52,50.46,50.19,49.86,50.07,50.06,49.66,49.81,50.62,50.62,50.15,50.49,2017,Regular,From
CHI,82,109,50.93,50.94,52.45,50.68,50.46,50.49,52.58,50.31,49.63,49.62,52.96,49.37,2017,Regular,From
COL,82,48,46.82,46.76,45.23,48.05,46.37,46.35,44.28,47.35,46.10,46.08,42.22,46.96,2017,Regular,From
DAL,82,79,49.80,49.70,49.24,50.23,50.28,50.19,49.51,50.62,50.68,50.63,49.47,50.86,2017,Regular,From
DET,82,79,47.75,47.80,47.14,47.62,47.83,47.89,47.03,47.58,48.29,48.28,46.81,48.09,2017,Regular,From
EDM,82,103,50.70,50.63,51.00,50.42,51.59,51.57,52.08,51.60,51.39,51.35,52.28,51.57,2017,Regular,From
FLA,82,81,50.28,50.25,49.48,50.85,49.89,49.87,48.81,50.53,49.44,49.42,47.28,50.03,2017,Regular,From
L.A,82,86,53.79,53.73,52.67,53.69,53.75,53.71,52.18,53.53,54.14,54.14,51.32,54.13,2017,Regular,From
MIN,82,106,50.44,50.53,51.63,50.29,50.85,51.00,52.41,50.78,50.96,51.09,53.73,50.52,2017,Regular,From
MTL,82,103,52.59,52.55,53.31,51.67,52.42,52.47,53.50,51.58,51.41,51.41,52.91,50.89,2017,Regular,From
N.J,82,70,46.40,46.42,45.74,46.56,46.68,46.71,45.79,46.68,46.58,46.58,44.89,46.84,2017,Regular,From
