Player_ID,LastName,FirstName,Jersey_Num,Position,Height,Weight,Birth_Date,Age,Birth_City,Birth_Country,Rookie,Team_ID,Team_Abbr,Team_City,Team_Name,GamesPlayed,Goals,Assists,Points,Shots
5263,Abbott,Spencer,24,LW,"5'9""",170,4/30/1988,29,"Hamilton, ON",Canada,Y,20,CHI,Chicago,Blackhawks,1,0,0,0,1
4419,Abdelkader,Justin,8,LW,"6'2""",214,2/25/1987,31,"Muskegon, MI",USA,N,16,DET,Detroit,Red Wings,64,7,14,21,104
9554,Aberg,Pontus,46,LW,"5'11""",196,9/22/1993,24,Stockholm,Sweden,Y,18,NSH,Nashville,Predators,15,1,1,2,12
5927,Acciari,Noel,55,C,"5'10""",208,12/1/1991,26,"Johnston, RI",USA,N,11,BOS,Boston,Bruins,29,2,3,5,24
5353,Agostino,Kenny,73,LW,"6'0""",202,4/30/1992,25,"Morristown, NJ",USA,N,17,STL,St. Louis,Blues,7,1,2,3,17
5630,Aho,Sebastian,20,RW,"5'11""",172,7/26/1997,20,Rauma,Finland,Y,3,CAR,Carolina,Hurricanes,82,24,25,49,214
5107,Allen,Jake,34,G,"6'2""",203,8/7/1990,27,"Fredericton, NB",Canada,N,17,STL,St. Louis,Blues,61,0,1,1,
4554,Alzner,Karl,27,D,"6'3""",217,9/24/1988,29,"Burnaby, BC",Canada,N,5,WSH,Washington,Capitals,82,3,10,13,80
5109,Andersen,Frederik,31,G,"6'4""",230,9/30/1989,28,Herning,Denmark,N,12,TOR,Toronto,Maple Leafs,66,0,1,1,
757,Anderson,Craig,41,G,"6'2""",187,5/21/1981,36,"Park Ridge, IL",USA,N,13,OTT,Ottawa,Senators,40,0,1,1,
5513,Anderson,Josh,34,RW,"6'3""",221,5/7/1994,23,"Burlington, ON",Canada,N,19,CBJ,Columbus,Blue Jackets,78,17,12,29,119
5647,Andersson,Rasmus,54,D,"6'1""",214,10/27/1996,21,Malmö,Sweden,Y,23,CGY,Calgary,Flames,1,0,0,0,0
5465,Andreoff,Andy,15,LW,"6'1""",203,5/17/1991,26,"Pickering, ON",Canada,N,28,LAK,Los Angeles,Kings,36,0,2,2,38
5494,Andrighetto,Sven,10,RW,"5'10""",188,3/21/1993,25,Zurich,Switzerland,N,22,COL,Colorado,Avalanche,46,7,16,23,68
4620,Anisimov,Artem,15,C,"6'4""",198,5/24/1988,29,Yaroslavl,Russia,N,20,CHI,Chicago,Blackhawks,64,22,23,45,105
5929,Archibald,Josh,45,RW,"5'10""",176,10/6/1992,25,"Regina, SK",Canada,N,10,PIT,Pittsburgh,Penguins,10,3,0,3,11
5505,Armia,Joel,40,RW,"6'3""",205,5/31/1993,24,Pori,Finland,N,2,WPJ,Winnipeg,Jets,57,10,9,19,111
5538,Arvidsson,Viktor,38,LW,"5'9""",180,4/8/1993,25,Skellefteå,Sweden,N,18,NSH,Nashville,Predators,80,31,30,61,246
5853,Athanasiou,Andreas,72,C,"6'2""",188,8/6/1994,23,"London, ON",Canada,N,16,DET,Detroit,Red Wings,64,18,11,29,120
5011,Atkinson,Cam,13,RW,"5'8""",179,6/5/1989,28,"Riverside, CT",USA,N,19,CBJ,Columbus,Blue Jackets,82,35,27,62,240
12293,Austin,Brady,67,D,"6'4""",230,6/16/1993,24,"Bobcaygeon, ON",Canada,Y,15,BUF,Buffalo,Sabres,5,0,0,0,8
10080,Auvitu,Yohann,33,D,"5'11""",187,7/27/1989,28,Ivry-sur-Seine,France,N,7,NJD,New Jersey,Devils,25,2,2,4,54
4922,Bachman,Richard,32,G,"5'10""",183,7/25/1987,30,"Salt Lake City, UT",USA,N,21,VAN,Vancouver,Canucks,5,0,0,0,
4179,Backes,David,42,C,"6'3""",221,5/1/1984,33,"Minneapolis, MN",USA,N,11,BOS,Boston,Bruins,74,17,21,38,175
4609,Backlund,Mikael,11,C,"6'1""",199,3/17/1989,29,Vasteras,Sweden,N,23,CGY,Calgary,Flames,81,22,31,53,197
4264,Backstrom,Nicklas,19,C,"6'1""",210,11/23/1987,30,Gävle,Sweden,N,5,WSH,Washington,Capitals,82,23,63,86,162
4998,Baertschi,Sven,47,LW,"5'11""",192,10/5/1992,25,Bern,Switzerland,N,21,VAN,Vancouver,Canucks,68,18,17,35,114
5539,Bailey,Casey,37,C,"6'3""",195,10/27/1991,26,"Anchorage, AK",USA,Y,13,OTT,Ottawa,Senators,7,0,0,0,10
4527,Bailey,Joshua,12,LW,"6'1""",203,10/2/1989,28,"Bowmanville, ON",Canada,N,8,NYI,New York,Islanders,82,13,43,56,173
5913,Bailey,Justin,56,RW,"6'4""",214,7/1/1995,22,"Buffalo, NY",USA,N,15,BUF,Buffalo,Sabres,32,2,2,4,36
10092,Baptiste,Nicholas,73,RW,"6'1""",205,8/4/1995,22,"Ottawa, ON",Canada,Y,15,BUF,Buffalo,Sabres,14,3,1,4,16
11708,Barbashev,Ivan,49,C,"6'0""",187,12/14/1995,22,Moscow,Russia,Y,17,STL,St. Louis,Blues,30,5,7,12,20
11825,Barber,Riley,24,RW,"6'0""",190,2/7/1994,24,"Pittsburgh, PA",USA,Y,5,WSH,Washington,Capitals,3,0,0,0,2
5205,Barberio,Mark,45,D,"6'1""",207,3/23/1990,28,"Montreal, QC",Canada,N,22,COL,Colorado,Avalanche,59,2,11,13,80
5241,Barkov,Aleksander,16,C,"6'3""",213,9/2/1995,22,Tampere,Finland,N,4,FLO,Florida,Panthers,62,21,31,52,142
5075,Barrie,Tyson,4,D,"5'10""",190,7/26/1991,26,"Victoria, BC",Canada,N,22,COL,Colorado,Avalanche,74,7,31,38,181
4936,Bartkowski,Matt,44,D,"6'1""",196,6/4/1988,29,"Pittsburgh, PA",USA,N,23,CGY,Calgary,Flames,23,1,1,2,16
5611,Barzal,Mathew,13,C,"6'0""",189,5/26/1997,20,"Coquitlam, BC",Canada,Y,8,NYI,New York,Islanders,2,0,0,0,0
4339,Bass,Cody,16,C,"6'0""",205,1/7/1987,31,"Owen sound, ON",Canada,N,18,NSH,Nashville,Predators,9,0,0,0,1
4456,Beagle,Jay,83,C,"6'3""",218,10/16/1985,32,"Calgary, AB",Canada,N,5,WSH,Washington,Capitals,81,13,17,30,100
3703,Beauchemin,Francois,32,D,"5'11""",208,6/4/1980,37,"Sorel, QC",Canada,N,22,COL,Colorado,Avalanche,81,5,13,18,132
5002,Beaulieu,Nathan,28,D,"6'2""",200,12/5/1992,25,"Strathroy, ON",Canada,N,14,MTL,Montreal,Canadiens,74,4,24,28,118
5623,Beauvillier,Anthony,72,LW,"5'11""",182,6/8/1997,20,"Sorel-Tracy, QC",Canada,Y,8,NYI,New York,Islanders,66,9,15,24,101
5194,Beck,Taylor,28,LW,"6'2""",203,5/13/1991,26,"St. Catharines, ON",Canada,N,9,NYR,New York,Rangers,5,0,0,0,5
4459,Beleskey,Matt,39,LW,"6'0""",203,6/6/1988,29,"Windsor, ON",Canada,N,11,BOS,Boston,Bruins,49,3,5,8,79
5444,Bellemare,Pierre-Edouard,78,LW,"6'0""",198,3/6/1985,33,Le Blanc-Mesnil,France,N,6,PHI,Philadelphia,Flyers,82,4,4,8,90
4707,Benn,Jamie,14,LW,"6'2""",209,7/18/1989,28,"Victoria, BC",Canada,N,27,DAL,Dallas,Stars,81,26,43,69,201
5059,Benn,Jordie,8,D,"6'2""",198,7/26/1987,30,"Victoria, BC",Canada,N,14,MTL,Montreal,Canadiens,73,4,13,17,68
5169,Bennett,Beau,8,RW,"6'2""",195,11/27/1991,26,"Gardena, CA",USA,N,7,NJD,New Jersey,Devils,65,8,11,19,101
5415,Bennett,Sam,93,C,"6'1""",200,6/20/1996,21,"Holland Landing, ON",Canada,N,23,CGY,Calgary,Flames,81,13,13,26,122
10168,Benning,Matthew,83,D,"6'1""",204,5/25/1994,23,"Edmonton, AB",Canada,Y,24,EDM,Edmonton,Oilers,62,3,12,15,69
78,Bergeron,Patrice,37,C,"6'1""",195,7/24/1985,32,"Ancienne-Lorette, QC",Canada,N,11,BOS,Boston,Bruins,79,21,32,53,301
4545,Berglund,Patrik,21,C,"6'4""",219,6/2/1988,29,Västerås,Sweden,N,17,STL,St. Louis,Blues,82,23,11,34,153
4271,Bernier,Jonathan,1,G,"6'0""",184,8/7/1988,29,"Laval, QC",Canada,N,29,ANA,Anaheim,Ducks,42,0,0,0,
5286,Berra,Reto,20,G,"6'4""",218,1/3/1987,31,Bulach,Switzerland,N,4,FLO,Florida,Panthers,7,0,0,0,
5852,Bertschy,Christoph,47,C,"5'10""",187,4/5/1994,24,Fribourg,Switzerland,N,25,MIN,Minnesota,Wild,5,0,1,1,5
10178,Bertuzzi,Tyler,59,LW,"6'0""",190,2/24/1995,23,"Sudbury, ON",Canada,Y,16,DET,Detroit,Red Wings,7,0,0,0,3
5404,Berube,Jean-Francois,30,G,"6'1""",177,7/13/1991,26,"Repentigny, QC",Canada,N,8,NYI,New York,Islanders,18,0,0,0,
11550,Bibeau,Antoine,30,G,"6'3""",213,5/1/1994,23,"Victoriaville, QC",Canada,Y,12,TOR,Toronto,Maple Leafs,2,0,0,0,
